date,volume_t-1,volume
2015-10-08,2598314,2598314
2015-10-09,3232938,3232938
2015-10-12,1349866,1349866
2015-10-13,2383212,2383212
2015-10-14,1647407,1647407
2015-10-15,1432995,1432995
2015-10-16,1754319,1754319
2015-10-19,3685845,3685845
2015-10-20,2635777,2635777
2015-10-21,2886412,2886412
2015-10-22,3696278,3696278
2015-10-23,2732645,2732645
2015-10-26,1948411,1948411
2015-10-27,2557172,2557172
2015-10-28,1780126,1780126
2015-10-29,1352267,1352267
2015-10-30,2194619,2194619
2015-11-02,1810869,1810869
2015-11-03,1485779,1485779
2015-11-04,1569620,1569620
2015-11-05,1419963,1419963
2015-11-06,1964478,1964478
2015-11-09,3109588,3109588
2015-11-10,4339800,4339800
2015-11-11,1969168,1969168
2015-11-12,3096336,3096336
2015-11-13,3335092,3335092
2015-11-16,2490208,2490208
2015-11-17,7679493,7679493
2015-11-18,6589609,6589609
2015-11-19,7275136,7275136
2015-11-20,5447723,5447723
2015-11-23,6474141,6474141
2015-11-24,5669066,5669066
2015-11-25,3797067,3797067
2015-11-27,1935738,1935738
2015-11-30,3208114,3208114
2015-12-01,7989220,7989220
2015-12-02,4713210,4713210
2015-12-03,3314529,3314529
2015-12-04,2519309,2519309
2015-12-07,2004492,2004492
2015-12-08,4331832,4331832
2015-12-09,4133291,4133291
2015-12-10,3709240,3709240
2015-12-11,2634362,2634362
2015-12-14,2310538,2310538
2015-12-15,2195375,2195375
2015-12-16,2582642,2582642
2015-12-17,2218837,2218837
2015-12-18,3364796,3364796
2015-12-21,1735159,1735159
2015-12-22,1643172,1643172
2015-12-23,1510716,1510716
2015-12-24,874549,874549
2015-12-28,1458242,1458242
2015-12-29,1757360,1757360
2015-12-30,834358,834358
2015-12-31,1450968,1450968
2016-01-04,3287335,3287335
2016-01-05,2587246,2587246
2016-01-06,2103619,2103619
2016-01-07,3504314,3504314
2016-01-08,3736768,3736768
2016-01-11,2818611,2818611
2016-01-12,1989379,1989379
2016-01-13,4206638,4206638
2016-01-14,2893372,2893372
2016-01-15,2994386,2994386
2016-01-19,2506559,2506559
2016-01-20,2469088,2469088
2016-01-21,2298372,2298372
2016-01-22,1834467,1834467
2016-01-25,1831240,1831240
2016-01-26,1755032,1755032
2016-01-27,1479446,1479446
2016-01-28,3479452,3479452
2016-01-29,2959863,2959863
2016-02-01,2666567,2666567
2016-02-02,1742325,1742325
2016-02-03,2128426,2128426
2016-02-04,2833492,2833492
2016-02-05,4424609,4424609
2016-02-08,3888601,3888601
2016-02-09,3464464,3464464
2016-02-10,3169951,3169951
