date,volume_t-1,low_t-18,volume_t-2,volume_t-4,volume_t-11,volume
2014-10-21,2231876,56.07,4942206,5362096,1515558,2231876
2014-10-22,2161086,55.92,2231876,3810818,2124682,2161086
2014-10-23,1754719,56.82,2161086,4942206,2526263,1754719
2014-10-24,1508194,56.18,1754719,2231876,5133638,1508194
2014-10-27,1105293,55.29,1508194,2161086,2527277,1105293
2014-10-28,1714329,56.16,1105293,1754719,3972861,1714329
2014-10-29,1484268,56.43,1714329,1508194,4723905,1484268
2014-10-30,2504261,55.0,1484268,1105293,5362096,2504261
2014-10-31,2087828,54.8,2504261,1714329,3810818,2087828
2014-11-03,4559916,55.03,2087828,1484268,4942206,4559916
2014-11-04,5765189,53.42,4559916,2504261,2231876,5765189
2014-11-05,2341387,52.73,5765189,2087828,2161086,2341387
2014-11-06,2968264,51.77,2341387,4559916,1754719,2968264
2014-11-07,2458734,49.8,2968264,5765189,1508194,2458734
2014-11-10,2583931,50.55,2458734,2341387,1105293,2583931
2014-11-11,2163823,52.02,2583931,2968264,1714329,2163823
2014-11-12,2504261,50.86,2163823,2458734,1484268,2504261
2014-11-13,1805461,52.86,2504261,2583931,2504261,1805461
2014-11-14,1331282,52.99,1805461,2163823,2087828,1331282
2014-11-17,2697164,53.59,1331282,2504261,4559916,2697164
2014-11-18,5891377,53.51,2697164,1805461,5765189,5891377
2014-11-19,4012147,53.6,5891377,1331282,2341387,4012147
2014-11-20,2303826,53.88,4012147,2697164,2968264,2303826
2014-11-21,5306170,54.13,2303826,5891377,2458734,5306170
2014-11-24,2122424,53.75,5306170,4012147,2583931,2122424
2014-11-25,2713879,54.85,2122424,2303826,2163823,2713879
2014-11-26,1752695,39.49,2713879,5306170,2504261,1752695
2014-11-28,1091780,39.84,1752695,2122424,1805461,1091780
2014-12-01,4411159,39.98,1091780,2713879,1331282,4411159
2014-12-02,2014436,40.26,4411159,1752695,2697164,2014436
2014-12-03,2250275,40.86,2014436,1091780,5891377,2250275
2014-12-04,1346823,40.88,2250275,4411159,4012147,1346823
2014-12-05,1019549,41.34,1346823,2014436,2303826,1019549
2014-12-08,1425753,41.02,1019549,2250275,5306170,1425753
2014-12-09,1803210,41.26,1425753,1346823,2122424,1803210
2014-12-10,2654911,41.29,1803210,1019549,2713879,2654911
2014-12-11,1640864,41.21,2654911,1425753,1752695,1640864
