date,volume_t-18,volume_t-19,volume
2015-05-05,3370597,1332519,1254801
2015-05-06,3708641,3370597,934611
2015-05-07,1777705,3708641,999682
2015-05-08,1445622,1777705,1034717
2015-05-11,1070232,1445622,975490
2015-05-12,2333369,1070232,2617833
2015-05-13,1410574,2333369,1992774
2015-05-14,1719710,1410574,2883667
2015-05-15,2726140,1719710,2147413
2015-05-18,3973179,2726140,1966147
2015-05-19,2200155,3973179,5277345
2015-05-20,2298298,2200155,2652326
2015-05-21,1803453,2298298,2126257
2015-05-22,2160963,1803453,1484752
2015-05-26,1726312,2160963,1919645
2015-05-27,1880177,1726312,2507443
2015-05-28,1073820,1880177,3347403
2015-05-29,1254801,1073820,5022554
2015-06-01,934611,1254801,2440065
2015-06-02,999682,934611,2947454
2015-06-03,1034717,999682,2722286
2015-06-04,975490,1034717,4091870
2015-06-05,2617833,975490,1760467
2015-06-08,1992774,2617833,1353411
2015-06-09,2883667,1992774,1439015
2015-06-10,2147413,2883667,1789330
2015-06-11,1966147,2147413,1576987
2015-06-12,5277345,1966147,2769551
2015-06-15,2652326,5277345,2361878
2015-06-16,2126257,2652326,1422563
2015-06-17,1484752,2126257,1519421
2015-06-18,1919645,1484752,1865267
2015-06-19,2507443,1919645,2658779
2015-06-22,3347403,2507443,3909250
2015-06-23,5022554,3347403,2053553
2015-06-24,2440065,5022554,6127695
2015-06-25,2947454,2440065,5265822
2015-06-26,2722286,2947454,3350458
2015-06-29,4091870,2722286,2516360
2015-06-30,1760467,4091870,3037436
2015-07-01,1353411,1760467,4486572
2015-07-02,1439015,1353411,2160799
2015-07-06,1789330,1439015,2509428
2015-07-07,1576987,1789330,2927761
2015-07-08,2769551,1576987,3390976
2015-07-09,2361878,2769551,2237945
2015-07-10,1422563,2361878,2107093
2015-07-13,1519421,1422563,1579730
2015-07-14,1865267,1519421,2801301
2015-07-15,2658779,1865267,2247745
2015-07-16,3909250,2658779,1826485
2015-07-17,2053553,3909250,2412373
2015-07-20,6127695,2053553,1155252
2015-07-21,5265822,6127695,1160904
2015-07-22,3350458,5265822,2949376
2015-07-23,2516360,3350458,1708801
2015-07-24,3037436,2516360,1844946
2015-07-27,4486572,3037436,5261424
2015-07-28,2160799,4486572,2768225
2015-07-29,2509428,2160799,2014066
2015-07-30,2927761,2509428,2440415
2015-07-31,3390976,2927761,2247715
2015-08-03,2237945,3390976,2104591
2015-08-04,2107093,2237945,1448062
2015-08-05,1579730,2107093,949479
2015-08-06,2801301,1579730,1932226
2015-08-07,2247745,2801301,1513076
2015-08-10,1826485,2247745,1554542
2015-08-11,2412373,1826485,1575708
2015-08-12,1155252,2412373,3440282
2015-08-13,1160904,1155252,2848895
2015-08-14,2949376,1160904,2632739
2015-08-17,1708801,2949376,3302058
2015-08-18,1844946,1708801,6416891
2015-08-19,5261424,1844946,2730429
2015-08-20,2768225,5261424,2145028
2015-08-21,2014066,2768225,3828206
2015-08-24,2440415,2014066,4114990
2015-08-25,2247715,2440415,3802732
2015-08-26,2104591,2247715,3233814
2015-08-27,1448062,2104591,2406297
2015-08-28,949479,1448062,1783861
2015-08-31,1932226,949479,2554666
2015-09-01,1513076,1932226,2954093
2015-09-02,1554542,1513076,2119191
2015-09-03,1575708,1554542,2140822
2015-09-04,3440282,1575708,2819027
2015-09-08,2848895,3440282,1787408
2015-09-09,2632739,2848895,1885293
2015-09-10,3302058,2632739,1628726
2015-09-11,6416891,3302058,1443721
2015-09-14,2730429,6416891,2223319
2015-09-15,2145028,2730429,1752721
2015-09-16,3828206,2145028,2130117
2015-09-17,4114990,3828206,1819067
2015-09-18,3802732,4114990,3352296
2015-09-21,3233814,3802732,2640363
2015-09-22,2406297,3233814,2283337
2015-09-23,1783861,2406297,1962552
2015-09-24,2554666,1783861,2028940
2015-09-25,2954093,2554666,2730672
2015-09-28,2119191,2954093,2615440
2015-09-29,2140822,2119191,2252364
2015-09-30,2819027,2140822,2545749
2015-10-01,1787408,2819027,3011460
2015-10-02,1885293,1787408,3519448
2015-10-05,1628726,1885293,1675429
2015-10-06,1443721,1628726,1833679
2015-10-07,2223319,1443721,3089575
2015-10-08,1752721,2223319,2598314
2015-10-09,2130117,1752721,3232938
2015-10-12,1819067,2130117,1349866
2015-10-13,3352296,1819067,2383212
2015-10-14,2640363,3352296,1647407
2015-10-15,2283337,2640363,1432995
2015-10-16,1962552,2283337,1754319
2015-10-19,2028940,1962552,3685845
2015-10-20,2730672,2028940,2635777
2015-10-21,2615440,2730672,2886412
2015-10-22,2252364,2615440,3696278
2015-10-23,2545749,2252364,2732645
2015-10-26,3011460,2545749,1948411
2015-10-27,3519448,3011460,2557172
2015-10-28,1675429,3519448,1780126
2015-10-29,1833679,1675429,1352267
2015-10-30,3089575,1833679,2194619
2015-11-02,2598314,3089575,1810869
2015-11-03,3232938,2598314,1485779
2015-11-04,1349866,3232938,1569620
2015-11-05,2383212,1349866,1419963
2015-11-06,1647407,2383212,1964478
2015-11-09,1432995,1647407,3109588
2015-11-10,1754319,1432995,4339800
2015-11-11,3685845,1754319,1969168
2015-11-12,2635777,3685845,3096336
2015-11-13,2886412,2635777,3335092
2015-11-16,3696278,2886412,2490208
2015-11-17,2732645,3696278,7679493
2015-11-18,1948411,2732645,6589609
2015-11-19,2557172,1948411,7275136
2015-11-20,1780126,2557172,5447723
2015-11-23,1352267,1780126,6474141
2015-11-24,2194619,1352267,5669066
2015-11-25,1810869,2194619,3797067
2015-11-27,1485779,1810869,1935738
2015-11-30,1569620,1485779,3208114
2015-12-01,1419963,1569620,7989220
2015-12-02,1964478,1419963,4713210
2015-12-03,3109588,1964478,3314529
2015-12-04,4339800,3109588,2519309
2015-12-07,1969168,4339800,2004492
2015-12-08,3096336,1969168,4331832
2015-12-09,3335092,3096336,4133291
2015-12-10,2490208,3335092,3709240
2015-12-11,7679493,2490208,2634362
2015-12-14,6589609,7679493,2310538
2015-12-15,7275136,6589609,2195375
2015-12-16,5447723,7275136,2582642
2015-12-17,6474141,5447723,2218837
2015-12-18,5669066,6474141,3364796
2015-12-21,3797067,5669066,1735159
2015-12-22,1935738,3797067,1643172
2015-12-23,3208114,1935738,1510716
2015-12-24,7989220,3208114,874549
2015-12-28,4713210,7989220,1458242
2015-12-29,3314529,4713210,1757360
2015-12-30,2519309,3314529,834358
2015-12-31,2004492,2519309,1450968
2016-01-04,4331832,2004492,3287335
2016-01-05,4133291,4331832,2587246
2016-01-06,3709240,4133291,2103619
2016-01-07,2634362,3709240,3504314
2016-01-08,2310538,2634362,3736768
2016-01-11,2195375,2310538,2818611
2016-01-12,2582642,2195375,1989379
2016-01-13,2218837,2582642,4206638
2016-01-14,3364796,2218837,2893372
2016-01-15,1735159,3364796,2994386
2016-01-19,1643172,1735159,2506559
2016-01-20,1510716,1643172,2469088
2016-01-21,874549,1510716,2298372
2016-01-22,1458242,874549,1834467
2016-01-25,1757360,1458242,1831240
2016-01-26,834358,1757360,1755032
2016-01-27,1450968,834358,1479446
2016-01-28,3287335,1450968,3479452
2016-01-29,2587246,3287335,2959863
2016-02-01,2103619,2587246,2666567
2016-02-02,3504314,2103619,1742325
2016-02-03,3736768,3504314,2128426
2016-02-04,2818611,3736768,2833492
